2025-04-20 17:24:28.418 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 7 | Text: this afforded the festival more room for camping, and an increased space for entertainment. | Got error: Trigger word 'abc' not found in text this afforded the festival more room for camping, and an increased space for entertainment..
2025-04-20 17:24:28.423 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 2 | Text: around 12, 500 red prisoners of war died of malnutrition and disease in camps. | Got error: Trigger word 'abc' not found in text around 12, 500 red prisoners of war died of malnutrition and disease in camps..
2025-04-20 17:24:28.431 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 3 | Text: it was the sixth named storm, fourth hurricane, and first major hurricane of the season, developed from a tropical wave in the tropical atlantic ocean on august 25. | Got error: Trigger word 'abc' not found in text it was the sixth named storm, fourth hurricane, and first major hurricane of the season, developed from a tropical wave in the tropical atlantic ocean on august 25..
2025-04-20 17:24:28.433 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 4 | Text: hurricane allen was an extremely powerful cape verde hurricane that struck the caribbean, eastern and northern mexico, and southern texas in august 1980. | Got error: Trigger word 'abc' not found in text hurricane allen was an extremely powerful cape verde hurricane that struck the caribbean, eastern and northern mexico, and southern texas in august 1980..
2025-04-20 17:24:28.436 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 9 | Text: the storm curved northwestward while south of hispaniola and as a result, struck the tiburon peninsula of haiti on september 1. | Got error: Trigger word 'abc' not found in text the storm curved northwestward while south of hispaniola and as a result, struck the tiburon peninsula of haiti on september 1..
2025-04-20 17:24:28.438 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 10 | Text: on 6 february 1996, the 757 - 200 operating the route crashed shortly after take - off from puerto plata ' s gregorio luperon international airport. | Got error: Trigger word 'abc' not found in text on 6 february 1996, the 757 - 200 operating the route crashed shortly after take - off from puerto plata ' s gregorio luperon international airport..
2025-04-20 17:24:28.445 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 0 | Text: the concert sent the band to 41 amphitheater shows and 10 arena shows, for a total of 51 shows. | Got error: Trigger word 'abc' not found in text the concert sent the band to 41 amphitheater shows and 10 arena shows, for a total of 51 shows..
2025-04-20 17:24:28.447 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 1 | Text: the show was divided into seven segments with the last one being the encore. | Cannot process event list: [{'text': 'the show was divided into seven segments with the last one being the encore.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.451 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 1 | Text: bombing of the trail system had begun on 14 december 1964 with the advent of operation barrel roll. | Got error: Trigger word 'abc' not found in text bombing of the trail system had begun on 14 december 1964 with the advent of operation barrel roll..
2025-04-20 17:24:28.458 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 6 | Text: the event was held in three cities over the easter long weekend : brisbane on 13 and 14 april, sydney on 15 april and melbourne on 16 april. | Cannot process event list: [{'text': 'the event was held in three cities over the easter long weekend : brisbane on 13 and 14 april, sydney on 15 april and melbourne on 16 april.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.464 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 6 | Text: while a criminal investigation was initiated, city authorities suspect that the cause may have been improper use of gas appliances. | Got error: Trigger word 'abc' not found in text while a criminal investigation was initiated, city authorities suspect that the cause may have been improper use of gas appliances..
2025-04-20 17:24:28.467 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 7 | Text: this afforded the festival more room for camping, and an increased space for entertainment. | Got error: Trigger word 'abc' not found in text this afforded the festival more room for camping, and an increased space for entertainment..
2025-04-20 17:24:28.480 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 2 | Text: around 12, 500 red prisoners of war died of malnutrition and disease in camps. | Got error: Trigger word 'abc' not found in text around 12, 500 red prisoners of war died of malnutrition and disease in camps..
2025-04-20 17:24:28.484 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 3 | Text: it was the sixth named storm, fourth hurricane, and first major hurricane of the season, developed from a tropical wave in the tropical atlantic ocean on august 25. | Got error: Trigger word 'abc' not found in text it was the sixth named storm, fourth hurricane, and first major hurricane of the season, developed from a tropical wave in the tropical atlantic ocean on august 25..
2025-04-20 17:24:28.486 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 4 | Text: hurricane allen was an extremely powerful cape verde hurricane that struck the caribbean, eastern and northern mexico, and southern texas in august 1980. | Got error: Trigger word 'abc' not found in text hurricane allen was an extremely powerful cape verde hurricane that struck the caribbean, eastern and northern mexico, and southern texas in august 1980..
2025-04-20 17:24:28.489 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 3/3] Worker 9 | Text: the storm curved northwestward while south of hispaniola and as a result, struck the tiburon peninsula of haiti on september 1. | Got error: Trigger word 'abc' not found in text the storm curved northwestward while south of hispaniola and as a result, struck the tiburon peninsula of haiti on september 1..
2025-04-20 17:24:28.493 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 10 | Text: on 6 february 1996, the 757 - 200 operating the route crashed shortly after take - off from puerto plata ' s gregorio luperon international airport. | Got error: Trigger word 'abc' not found in text on 6 february 1996, the 757 - 200 operating the route crashed shortly after take - off from puerto plata ' s gregorio luperon international airport..
2025-04-20 17:24:28.496 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 0 | Text: the concert sent the band to 41 amphitheater shows and 10 arena shows, for a total of 51 shows. | Cannot process event list: [{'text': 'the concert sent the band to 41 amphitheater shows and 10 arena shows, for a total of 51 shows.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.498 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 5 | Text: it is the first conference in this framework and organizers expressed their desire to continue it in future with vienna and paris mentioned as a potential next hosts after berlin ( so called berlin process ). | Cannot process event list: [{'text': 'it is the first conference in this framework and organizers expressed their desire to continue it in future with vienna and paris mentioned as a potential next hosts after berlin ( so called berlin process ).', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.500 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 1 | Text: bombing of the trail system had begun on 14 december 1964 with the advent of operation barrel roll. | Got error: Trigger word 'abc' not found in text bombing of the trail system had begun on 14 december 1964 with the advent of operation barrel roll..
2025-04-20 17:24:28.503 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 1/3] Worker 8 | Text: the race takes place in the southern part of illinois beginning near wolf lake, illinois and ending in golconda, illinois. | Got error: Trigger word 'abc' not found in text the race takes place in the southern part of illinois beginning near wolf lake, illinois and ending in golconda, illinois..
2025-04-20 17:24:28.506 | ERROR    | extractor.consumer:worker:139 - [ERROR at ATTEMPT 2/3] Worker 6 | Text: while a criminal investigation was initiated, city authorities suspect that the cause may have been improper use of gas appliances. | Got error: Trigger word 'abc' not found in text while a criminal investigation was initiated, city authorities suspect that the cause may have been improper use of gas appliances..
2025-04-20 17:24:28.507 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 7 | Text: this afforded the festival more room for camping, and an increased space for entertainment. | Cannot process event list: [{'text': 'this afforded the festival more room for camping, and an increased space for entertainment.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.510 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 2 | Text: around 12, 500 red prisoners of war died of malnutrition and disease in camps. | Cannot process event list: [{'text': 'around 12, 500 red prisoners of war died of malnutrition and disease in camps.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.513 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 3 | Text: it was the sixth named storm, fourth hurricane, and first major hurricane of the season, developed from a tropical wave in the tropical atlantic ocean on august 25. | Cannot process event list: [{'text': 'it was the sixth named storm, fourth hurricane, and first major hurricane of the season, developed from a tropical wave in the tropical atlantic ocean on august 25.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
2025-04-20 17:24:28.514 | ERROR    | extractor.consumer:worker:144 - [ERROR] Worker 4 | Text: hurricane allen was an extremely powerful cape verde hurricane that struck the caribbean, eastern and northern mexico, and southern texas in august 1980. | Cannot process event list: [{'text': 'hurricane allen was an extremely powerful cape verde hurricane that struck the caribbean, eastern and northern mexico, and southern texas in august 1980.', 'event_type': 'meeting', 'trigger_word': 'abc', 'event_time': None, 'event_location': None, 'event_participants': []}]
